review_phase,candidate_order,candidate_id,review_category,swing_degree,chart_path_relative,context_chart_path_relative,chart_path_absolute_out,visual_review_status,visual_quality_score,swing_degree_fit,context_status,user_review_priority,suggested_action,why_review,visual_notes
phase2_4_h4_d1_context,3,impulse_index_hk50_h4_minor_impulse_012,impulse,minor,,charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png,,,,partially_useful/flags_transition,medium,keep_as_ambiguous_example,context_changes_reading,"Bullish context helps, but broader chart later rolls over; late-cycle/transition sensitive."
phase2_4_h4_d1_context,4,impulse_forex_eurjpy_h4_minor_impulse_022,impulse,minor,,charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,,,,partially_useful/flags_transition,medium,keep_as_ambiguous_example,context_changes_reading,Completes near a top before sharp selloff; context warns against treating it as fresh continuation.
phase2_4_h4_d1_context,7,impulse_index_aus200_h4_intermediate_impulse_015,impulse,intermediate,,charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png,,,,partially_useful/flags_transition,medium,keep_as_ambiguous_example,context_changes_reading,"Readable count, but post-wave-5 collapse makes it a completed/terminal impulse example."
phase2_3_h4_count_only,17,partial_123_forex_audjpy_h4_minor_partial123_002,partial_123,minor,charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,plausible_but_needs_review,3,good,,medium,inspect_manually_before_phase_2_5,manual_or_doubtful_count,"More defensible as minor than intermediate, but later reversal lowers quality."
phase2_4_h4_d1_context,22,partial_123_metals_xagusd_h4_major_partial123_003,partial_123,major,,charts\partials\022_partial_123_metals_xagusd_h4_major_partial123_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\022_partial_123_metals_xagusd_h4_major_partial123_003.png,,,,useful/downgrades_confidence,medium,inspect_manually_before_phase_2_5,context_changes_reading,"Bullish 1-2-3 is visible, but wave 3 ends in a blowoff before hard reversal."
phase2_3_h4_count_only,25,abc_forex_audjpy_h4_abc_002,abc,intermediate,charts\abc\025_abc_forex_audjpy_h4_abc_002.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\025_abc_forex_audjpy_h4_abc_002.png,ambiguous,3,mixed,,medium,inspect_manually_before_phase_2_5,manual_or_doubtful_count,"Possible correction before a rise, but labels overlap and the A-B-C is not clean."
phase2_3_h4_count_only,29,abc_index_aus200_h4_abc_005,abc,minor,charts\abc\029_abc_index_aus200_h4_abc_005.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\029_abc_index_aus200_h4_abc_005.png,ambiguous,2,mixed,,medium,inspect_manually_before_phase_2_5,low_visual_quality,Looks more like a partial impulse start than a clean ABC.
phase2_4_h4_d1_context,29,abc_index_aus200_h4_abc_005,abc,minor,,charts\abc\029_abc_index_aus200_h4_abc_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\029_abc_index_aus200_h4_abc_005.png,,,,partially_useful/downgrades_confidence,medium,inspect_manually_before_phase_2_5,context_changes_reading,Looks closer to minor impulse/partial than clean ABC; context does not rescue it.
phase2_3_h4_count_only,33,abc_forex_audjpy_h4_abc_003,abc,major,charts\abc\033_abc_forex_audjpy_h4_abc_003.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\033_abc_forex_audjpy_h4_abc_003.png,ambiguous,3,mixed,,medium,inspect_manually_before_phase_2_5,manual_or_doubtful_count,"Broad leg could be read as A-B-C, but also as impulse or partial 1-2-3."
phase2_3_h4_count_only,35,abc_forex_eurjpy_h4_abc_003,abc,major,charts\abc\035_abc_forex_eurjpy_h4_abc_003.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\035_abc_forex_eurjpy_h4_abc_003.png,ambiguous,2,mixed,,medium,inspect_manually_before_phase_2_5,low_visual_quality,"Possible broad correction, but selected pivots do not form a clean sequence."
phase2_3_h4_count_only,36,abc_forex_eurusd_h4_abc_003,abc,major,charts\abc\036_abc_forex_eurusd_h4_abc_003.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\036_abc_forex_eurusd_h4_abc_003.png,ambiguous,2,mixed,,medium,inspect_manually_before_phase_2_5,low_visual_quality,"Broad bearish/corrective context is possible, but repeated labels reduce naturalness."
phase2_4_h4_d1_context,39,near_miss_index_aus200_h4_intermediate_impulse_009,near_miss,intermediate,,charts\impulses\039_near_miss_index_aus200_h4_intermediate_impulse_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\039_near_miss_index_aus200_h4_intermediate_impulse_009.png,,,,partially_useful/flags_transition,medium,keep_as_ambiguous_example,context_changes_reading,Context supports impulse during candidate but later fall makes it a late transition example.
phase2_3_h4_count_only,40,near_miss_forex_audjpy_h4_minor_impulse_002,near_miss,minor,charts\impulses\040_near_miss_forex_audjpy_h4_minor_impulse_002.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\040_near_miss_forex_audjpy_h4_minor_impulse_002.png,visually_forced,2,mixed,,medium,use_as_negative_example,low_visual_quality,Tiny crowded minor leg; truncation is too obvious and pivots are noisy.
phase2_3_h4_count_only,41,near_miss_metals_xagusd_h4_minor_impulse_005,near_miss,minor,charts\impulses\041_near_miss_metals_xagusd_h4_minor_impulse_005.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\041_near_miss_metals_xagusd_h4_minor_impulse_005.png,ambiguous,3,mixed,,medium,keep_as_ambiguous_example,manual_or_doubtful_count,"Readable early impulse, but wave 5 materially fails below wave 3."
phase2_4_h4_d1_context,42,near_miss_index_aus200_h4_minor_impulse_005,near_miss,minor,,charts\impulses\042_near_miss_index_aus200_h4_minor_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\042_near_miss_index_aus200_h4_minor_impulse_005.png,,,,partially_useful/no_change,medium,inspect_manually_before_phase_2_5,ewo_context_problem,Context helps but inside-band/EWO make the minor reading less decisive.
phase2_4_h4_d1_context,44,near_miss_metals_xagusd_h4_major_impulse_003,near_miss,major,,charts\impulses\044_near_miss_metals_xagusd_h4_major_impulse_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\044_near_miss_metals_xagusd_h4_major_impulse_003.png,,,,partially_useful/flags_transition,medium,inspect_manually_before_phase_2_5,ewo_context_problem,D1 bullish does not compensate chaotic drop; EWO negative explains correction.
phase2_3_h4_count_only,45,near_miss_index_aus200_h4_major_impulse_009,near_miss,major,charts\impulses\045_near_miss_index_aus200_h4_major_impulse_009.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\045_near_miss_index_aus200_h4_major_impulse_009.png,ambiguous,3,mixed,,medium,inspect_manually_before_phase_2_5,manual_or_doubtful_count,Broad shape is readable but wave 4 returns near origin and wave 5 fails.
phase2_4_h4_d1_context,46,hard_invalid_forex_audjpy_h4_intermediate_impulse_001,hard_invalid,intermediate,,charts\invalidations\046_hard_invalid_forex_audjpy_h4_intermediate_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\invalidations\046_hard_invalid_forex_audjpy_h4_intermediate_impulse_001.png,,,,partially_useful/misleading_if_used_as_filter,medium,use_as_negative_example,ewo_context_problem,"Context favors later direction, but initial structure remains invalid."
phase2_4_h4_d1_context,51,hard_invalid_index_aus200_h4_minor_impulse_001,hard_invalid,minor,,charts\invalidations\051_hard_invalid_index_aus200_h4_minor_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\invalidations\051_hard_invalid_index_aus200_h4_minor_impulse_001.png,,,,partially_useful/misleading_if_used_as_filter,medium,use_as_negative_example,ewo_context_problem,"Context explains bullish bias, but minor swing remains noisy and overlapped."
phase2_4_h4_d1_context,52,hard_invalid_forex_audjpy_h4_major_impulse_001,hard_invalid,major,,charts\invalidations\052_hard_invalid_forex_audjpy_h4_major_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\invalidations\052_hard_invalid_forex_audjpy_h4_major_impulse_001.png,,,,partially_useful/flags_transition,medium,use_as_negative_example,context_changes_reading,Context shows bullish trend arrived later; initial leg still violates impulse cleanliness.
phase2_4_h4_d1_context,37,near_miss_forex_audjpy_h4_intermediate_impulse_002,near_miss,intermediate,,charts\impulses\037_near_miss_forex_audjpy_h4_intermediate_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\037_near_miss_forex_audjpy_h4_intermediate_impulse_002.png,,,,conflict_explains_case/no_change,low,use_as_negative_example,d1_context_conflict_or_unclear,D1 and EMAs explain correction against trend; EWO later improves but does not rescue the read.
phase2_4_h4_d1_context,40,near_miss_forex_audjpy_h4_minor_impulse_002,near_miss,minor,,charts\impulses\040_near_miss_forex_audjpy_h4_minor_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\040_near_miss_forex_audjpy_h4_minor_impulse_002.png,,,,conflict_explains_case/downgrades_confidence,low,use_as_negative_example,d1_context_conflict_or_unclear,Minor read is against bullish D1; EMAs and later EWO favor discard.
phase2_4_h4_d1_context,49,hard_invalid_forex_audjpy_h4_minor_impulse_001,hard_invalid,minor,,charts\invalidations\049_hard_invalid_forex_audjpy_h4_minor_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\invalidations\049_hard_invalid_forex_audjpy_h4_minor_impulse_001.png,,,,partially_useful/misleading_if_used_as_filter,low,use_as_negative_example,ewo_context_problem,Candidate appears before real expansion; context explains but does not change invalidation.
phase2_4_h4_d1_context,50,hard_invalid_metals_xagusd_h4_minor_impulse_002,hard_invalid,minor,,charts\invalidations\050_hard_invalid_metals_xagusd_h4_minor_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\invalidations\050_hard_invalid_metals_xagusd_h4_minor_impulse_002.png,,,,conflict_explains_case/downgrades_confidence,low,use_as_negative_example,d1_context_conflict_or_unclear,Clear conflict with bullish D1; context reinforces discard.
